run,freq_hz,temperature_C,G_storage_pa,G_loss_pa,G_abs_pa,tan_delta,force_dyn_N,strain_dyn_pct
tf_015p,1.0,-9.966876,7246469.98295114,800134.4113870797,7290510.427267603,0.1104171290669203,3.2556040467857437,0.14504330788816422
tf_015p,1.3895,-10.013936999999999,7410086.386400102,856841.0810597676,7459460.898222055,0.11563172632269812,3.4619936711551724,0.15074498727748206
tf_015p,1.9307,-10.005495,7589785.200580183,909607.142167856,7644097.366205427,0.11984622991679963,3.516294979442405,0.1494111959288804
tf_015p,2.6827,-9.994519,7794561.176763769,992104.9743299558,7857445.909352685,0.127281697048899,3.5950887920774006,0.14861145038180595
tf_015p,3.72759,-10.024738,7994349.746814171,1108575.0370728013,8070846.702001518,0.1386698195828347,3.732868286255192,0.15022687022913558
tf_015p,5.17947,-9.988617999999999,8217629.931125382,1245951.0022993744,8311548.326579023,0.1516192640386697,3.858247128904401,0.1507759796438943
tf_015p,7.19686,-10.001770999999998,8464432.913311973,1467786.7514724643,8590752.149361378,0.1734063895957026,3.9944525148884362,0.15102544529274947
tf_015p,10.0,-10.024031,8734527.67360748,1729328.132078065,8904074.88004293,0.1979875955174379,4.120970032147511,0.15032620865152752
tf_015p,13.895,-9.999061999999999,8984733.097667703,2044130.2540155114,9214331.08433309,0.22751151668001532,4.283061906606859,0.1509783206108156
tf_015p,19.307,-9.994477,9308767.88209968,2395703.375260181,9612104.563780172,0.25735987894455986,4.434207418892078,0.14983786259554746
tf_015p,26.827,-9.982976,9628686.035105454,2889946.314529764,10053028.621440357,0.30013921982638553,4.69739076855132,0.15176926208664326
tf_015p,37.2759,-9.986426999999999,10009343.936694704,3421025.9031279124,10577825.12017093,0.3417832302261368,4.952326439759037,0.152067684478501
tf_015p,51.7947,-9.987742999999998,10421655.94109206,4082735.054847321,11192838.696353067,0.3917549262732138,5.113010266099162,0.14837491094160218
tf_015p,100.0,-10.011444999999998,11252510.067701075,6024818.285294124,12763910.771958902,0.5354199417770451,6.129054487722872,0.15596737913499287
tf_015p,1.0,-2.712636,6056231.1191040445,606325.1782596566,6086506.846278564,0.1001159246295997,2.80620014464822,0.14975267175585272
tf_015p,1.3895,-2.7159119999999994,6191933.062752402,613540.599808852,6222255.790404324,0.09908708534005445,2.8812624102331568,0.15040386768460648
tf_015p,1.9307,-2.7301219999999997,6325772.127069647,618121.4411071308,6355900.181686904,0.0977147814828843,2.9837728287671337,0.1524799491095446
tf_015p,2.6827,-2.7421059999999997,6466086.436992172,629571.8573311971,6496663.338529832,0.09736520899712175,3.031409702537565,0.15155781170496369
tf_015p,3.72759,-2.7411049999999992,6614276.832567317,659872.9746261273,6647111.429822632,0.0997649465436721,3.0849332806746714,0.15074290076348715
tf_015p,5.17947,-2.75178,6752068.165825272,702301.6804867784,6788494.101519542,0.10401282440266055,3.132151717494778,0.14986264631056018
tf_015p,7.19686,-2.7513880000000004,6906424.62540882,751232.2216629595,6947161.35967188,0.10877295596612567,3.2314230738087666,0.15108122137417446
tf_015p,10.0,-2.749196999999999,7063250.34358584,827799.1065223076,7111593.12509684,0.11719804144759426,3.3268940663102917,0.15194839694669426
tf_015p,13.895,-2.756715,7192855.036473492,925725.6768760919,7252181.161867772,0.12870072762233173,3.426957885400262,0.1534843765904615
tf_015p,19.307,-2.7573729999999994,7345415.331603139,1039070.7524629994,7418543.955681227,0.14145840712266736,3.474794880373934,0.15213689567442984
tf_015p,26.827,-2.757982,7484234.614432305,1189986.263501964,7578247.4933978,0.15899905933029426,3.579966820052193,0.1534384732825734
tf_015p,37.2759,-2.7773579999999995,7650376.875835198,1348007.7493272142,7768229.607482012,0.1762014827772849,3.6688539306388384,0.15340249363880748
tf_015p,51.7947,-2.752514999999999,7745957.663839182,1564718.4229101276,7902417.596722114,0.20200451523441398,3.6577275400173828,0.15034030534363949
tf_015p,100.0,-2.7694480000000006,8115271.645695998,2334366.911110899,8444341.463911017,0.2876511117590192,3.93912740145682,0.1515159287533097
tf_015p,1.0,4.1720012,5364731.643156654,566351.6373885619,5394543.519173703,0.10556942547368794,2.496067902279718,0.15028849872786335
tf_015p,1.3895,4.1671929,5494994.783041583,574787.6607920753,5524974.979187964,0.10460203939882895,2.575078854379001,0.15138549618333505
tf_015p,1.9307,4.1515304,5616131.50766594,548762.6124332163,5642878.123458155,0.0977118523104673,2.6177311620649197,0.15067750636145147
tf_015p,2.6827,4.1380645000000005,5749053.169243437,558011.4894094401,5776070.391286878,0.09706145916247862,2.6948786193401504,0.15154122137417486
tf_015p,3.72759,4.1348235,5901023.098956679,565388.0478127811,5928046.664714257,0.09581186826954527,2.7503236391361754,0.1506940966922403
tf_015p,5.17947,4.134386,6011758.380877131,585547.9920585572,6040207.38725503,0.09740045340496938,2.8035162563973746,0.1507562340968205
tf_015p,7.19686,4.1330314999999995,6158805.378165196,599953.836190856,6187958.329827106,0.0974139949799147,2.8948456665965394,0.1519504834606892
tf_015p,10.0,4.1227114,6302697.4907884905,636027.534271174,6334708.097832339,0.10091354300293486,2.9687325838355436,0.15221888040725431
tf_015p,13.895,4.124555900000001,6412773.466768563,664770.8668927564,6447137.647170273,0.10366355062090454,2.9947798218009134,0.15087664122150252
tf_015p,19.307,4.0931560000000005,6519712.543726302,717350.177457109,6559058.082523727,0.11002788430410029,3.056599047112305,0.15136346055992533
tf_015p,26.827,4.1237243,6646741.93120803,792900.7012117113,6693868.076236719,0.11929163331719778,3.0969485310736,0.15027297709936463
tf_015p,37.2759,4.112038500000001,6721934.979495408,853645.9239729987,6775922.168390046,0.12699407634512389,3.1646183505476997,0.15169699745559995
tf_015p,51.7947,4.1334263,6797229.953913448,930508.7384137567,6860625.449522994,0.1368952859801402,3.295825948558129,0.15603592875331354
tf_015p,100.0,4.1139684,7061624.317502883,1249884.8396541208,7171384.114238009,0.1769967904630903,3.2412723731493154,0.14680356234109196
tf_015p,1.0,11.1097593,4813196.467484877,539551.7256666095,4843343.504158952,0.11209842135294154,2.2357705381680746,0.14993603053447885
tf_015p,1.3895,11.103159699999999,4942544.141932496,550856.0943596447,4973146.391535684,0.11145193215093153,2.284611224399084,0.14921246819351128
tf_015p,1.9307,11.0606508,5065897.0129820295,549619.5823607491,5095625.008912513,0.10849402997184437,2.358292524599884,0.15032259541997536
tf_015p,2.6827,11.060255999999999,5201640.892027047,540847.6781010155,5229682.990441695,0.10397635848526456,2.4012077825849527,0.14913460559809139
tf_015p,3.72759,11.065555,5339077.692540549,541565.6687027528,5366474.073402533,0.10143431129676145,2.4850316445817255,0.1504066157762095
tf_015p,5.17947,11.0467047,5459093.406032767,553901.7333365013,5487122.009394689,0.10146405128814837,2.539784541481887,0.15034061068715093
tf_015p,7.19686,11.048496,5597008.259488778,565622.4697327418,5625515.997226579,0.10105800161609996,2.619973450790908,0.15127201017824587
tf_015p,10.0,11.0604373,5723633.9156352095,588009.4951610379,5753758.803304947,0.10273359614331316,2.6566198492506348,0.14996910941488598
tf_015p,13.895,11.0394863,5834781.123912584,599999.8685187601,5865549.471804762,0.10283159826849217,2.728882293659387,0.15111241730292765
tf_015p,19.307,11.0311808,5955968.18084554,620753.6302213913,5988229.457918055,0.10422379894804373,2.830260344684184,0.15351541984745898
tf_015p,26.827,11.0428134,6057523.950761553,651751.1033721963,6092485.200211546,0.10759364860460158,2.8162818523909197,0.1501432061069981
tf_015p,37.2759,11.0329721,6138566.335794054,699418.5796700703,6178283.176460248,0.11393842493674008,2.8670329226924767,0.1507262595421131
tf_015p,51.7947,11.045479,6183944.656866117,741785.9516964819,6228275.677690999,0.11995352365789155,2.9121738418667142,0.15187053435127434
tf_015p,100.0,11.0411068,6432317.7787320465,922704.0964439687,6498160.882602619,0.14344815169033118,3.0019697447558618,0.1500513486006367
tf_015p,1.0,18.379617,4352525.646701084,524778.8835203737,4384047.48854065,0.12056882052334832,2.030117040565266,0.15040763358791437
tf_015p,1.3895,18.389018,4464326.765371307,529786.1514443216,4495651.992122257,0.11867100669102976,2.1151760235574204,0.15281918575076628
tf_015p,1.9307,18.39956,4590687.9196775155,527872.9298831082,4620937.719335378,0.11498776199105908,2.1453464637579027,0.150796539440332
tf_015p,2.6827,18.400168999999998,4725107.091002487,539984.4211410097,4755861.667092197,0.11427982704756974,2.2199139700459396,0.15161109414771182
tf_015p,3.72759,18.422786,4864373.739922432,540953.7949913886,4894360.314684906,0.11120728461954375,2.274966775319859,0.15097435114516675
tf_015p,5.17947,18.389242,4986753.5705848625,549988.6500877237,5016990.999490251,0.11028991954443405,2.3374728010761383,0.15133078880420012
tf_015p,7.19686,18.387793000000002,5116820.946650166,562028.8861389437,5147594.881974734,0.10983946712203946,2.4056095778492033,0.15179058524185954
tf_015p,10.0,18.418061,5251689.735392493,577197.376398668,5283313.533015846,0.10990698336742664,2.4675420508155956,0.1516988295166686
tf_015p,13.895,18.389767,5378766.643542946,601077.2571028073,5412247.63612092,0.11175001574466574,2.496486956487242,0.14982203562353727
tf_015p,19.307,18.422212000000002,5486985.156221545,609685.9539412933,5520753.84952353,0.11111492679180783,2.5648672385927056,0.15090045801539567
tf_015p,26.827,18.421771,5632085.609279298,630566.2683448726,5667274.665041861,0.11195963841635606,2.6015161063645977,0.14909954198485983
tf_015p,37.2759,18.389592,5682565.8917258475,631905.0296387504,5717592.070119091,0.1112006515505331,2.6740253041620003,0.15190651399504035
tf_015p,51.7947,18.409010000000002,5744596.047865055,660090.2785982098,5782395.950559479,0.11490630030348759,2.6725764287552565,0.15012269720114566
tf_015p,100.0,18.421644999999998,5865139.465024463,788522.195985898,5917907.417132332,0.13444219028176327,2.7531309122304606,0.15110636132328392
tf_015p,1.0,24.987358,4018978.8786857594,501787.26721188537,4050182.920419548,0.12485441759175755,1.860724454379573,0.14922152671768432
tf_015p,1.3895,24.984159,4128980.732607297,505270.0601872623,4159781.2110691504,0.12237161975522301,1.9342078771120663,0.15102773536908534
tf_015p,1.9307,24.98201,4240927.72259346,512310.1745305572,4271759.551190736,0.12080143969472402,1.97618100423513,0.15026020356246894
tf_015p,2.6827,25.001428,4367520.177765846,521799.0015647464,4398580.077846234,0.11947260237539796,2.0665856658245834,0.1526036641222674
tf_015p,3.72759,24.981673999999998,4493852.283458759,526693.3952476588,4524612.058303453,0.11720309481162597,2.096930818823414,0.15053129771005186
tf_015p,5.17947,24.989017,4623335.549074022,544743.1202837419,4655317.031785059,0.11782469918127506,2.167233958599535,0.1512100254454214
tf_015p,7.19686,24.990935,4753401.738653813,546936.2100136665,4784764.080585499,0.11506206293612407,2.205540895897081,0.14971959287544556
tf_015p,10.0,24.976157999999998,4877396.865196957,562323.0330576415,4909705.426412083,0.11529162965395351,2.263341947548128,0.14973343511463133
tf_015p,13.895,24.9622,5008846.207899366,596763.699849526,5044270.7349869665,0.11914194907968632,2.342096810186641,0.15081012722659154
tf_015p,19.307,24.987267,5122630.149696976,605480.148462459,5158289.043933714,0.11819712350271384,2.4069711537895087,0.1515616284988568
tf_015p,26.827,24.987133999999998,5232301.099484502,616378.3045733133,5268481.470975806,0.11780252949013968,2.414355740644545,0.14884692111971962
tf_015p,37.2759,24.965756,5323449.174528689,653850.642728458,5363453.344328317,0.12282462390304433,2.456861959723684,0.14878539440216232
tf_015p,51.7947,24.966533,5386832.166491006,639616.5889181715,5424672.356074742,0.11873705531368339,2.6168023616060827,0.15668284987290695
tf_015p,100.0,24.97564,5476509.136434429,706259.0908829542,5521861.481865023,0.1289615470892423,2.5718454766479435,0.151280661577737
tf_015p_high,0.01,31.964866999999998,2743633.6952950535,340198.92898908193,2764644.853366108,0.12399575408790005,1.2566609996930072,0.1476395928754438
tf_015p_high,0.013895,31.987035999999996,2852635.6942863218,343566.42389738734,2873250.4749753443,0.12043824053156621,1.0788089994911711,0.12195374045811913
tf_015p_high,0.019307,31.983893,2934269.822378193,351373.5985317707,2955233.1204601307,0.11974822351101519,1.081679999014995,0.11888610687033026
tf_015p_high,0.026827,32.007763,3031162.28671007,366582.44279949076,3053248.6789880483,0.12093791362037827,1.1577509979645078,0.1231620865140998
tf_015p_high,0.0372759,31.986469,3101549.253746666,380882.17458495416,3124848.637027571,0.12280384524761266,1.1950349959435425,0.12421547073801927
tf_015p_high,0.0517947,31.973743,3202215.9641802786,388120.5118025008,3225651.037067225,0.12120372771355353,1.2230139919848415,0.12315104325710234
tf_015p_high,0.07196859,31.988134999999996,3277521.1884931996,395734.6733143705,3301325.6538374256,0.12074206406467342,1.2625529840248242,0.12421821882962232
tf_015p_high,0.09999999,31.979293999999996,3352869.170960599,404702.41916048806,3377205.3129255213,0.12070331364720102,1.2905409684730642,0.12411903307898613
tf_015p_high,0.13895,31.973134,3446652.211958846,425029.27064159577,3472759.9040392837,0.12331655313723622,1.3217629376579996,0.12362402035633938
