run,freq_hz,base_accel_ms2,base_phase_rad,mass_accel_ms2,mass_phase_rad
01g_253g,200.0,0.98197119,0.0269217,1.39475637,0.038906
01g_253g,200.3,0.9809097480000001,0.0262049,1.3932063900000002,0.0381488
01g_253g,200.6,0.979142967,0.0250941,1.3926864600000002,0.0377576
01g_253g,200.9,0.977700897,0.0241876,1.39225482,0.0374385
01g_253g,201.201,0.9759056670000001,0.0230591,1.39171527,0.0370411
01g_253g,201.501,0.97341687,0.0223777,1.39092066,0.0370143
01g_253g,201.801,0.9701207100000001,0.0214751,1.3898709900000001,0.0369788
01g_253g,202.101,0.9668255310000001,0.0205725,1.3888213200000001,0.0369433
01g_253g,202.401,0.9644672070000001,0.0199267,1.38806595,0.0369179
01g_253g,202.701,0.9589981320000001,0.0207773,1.3866925500000002,0.039372
01g_253g,203.001,0.9547415730000001,0.0214394,1.3856232600000002,0.0412823
01g_253g,203.302,0.949692366,0.0222247,1.38434796,0.0435481
01g_253g,203.602,0.9476607150000002,0.024202,1.3865846400000001,0.0461365
01g_253g,203.902,0.9451660319999999,0.0266309,1.38933144,0.049316
01g_253g,204.202,0.9426703680000001,0.0290599,1.3920684300000001,0.0524957
01g_253g,204.502,0.9410320980000001,0.0306544,1.39387347,0.054583
01g_253g,204.802,0.9409653900000001,0.0333214,1.40394834,0.0563348
01g_253g,205.103,0.940915359,0.0353066,1.41144318,0.0576388
01g_253g,205.403,0.940859442,0.0375436,1.4198895900000001,0.0591082
01g_253g,205.703,0.941281272,0.0400674,1.42714899,0.0597373
01g_253g,206.003,0.9417649050000001,0.0429582,1.43546787,0.0604579
01g_253g,206.303,0.9422485380000001,0.0458488,1.4437867500000001,0.0611785
01g_253g,206.603,0.9425369520000001,0.0475758,1.4487604200000002,0.061609
01g_253g,206.903,0.9468641430000001,0.0547347,1.4629162500000001,0.0635243
01g_253g,207.204,0.9499493880000001,0.0598385,1.4730205500000002,0.0648898
01g_253g,207.504,0.953243586,0.0652893,1.48380174,0.0663481
01g_253g,207.804,0.958755825,0.068024,1.494063,0.0655642
01g_253g,208.104,0.964669293,0.0709579,1.5050698200000001,0.0647233
01g_253g,208.404,0.9705827610000001,0.0738918,1.51608645,0.0638824
01g_253g,208.704,0.9737661060000001,0.0754714,1.5220116900000003,0.0634296
01g_253g,209.005,0.9822262500000001,0.0757517,1.5351178500000002,0.0601296
01g_253g,209.305,0.98800434,0.0759436,1.5440940000000003,0.0578717
01g_253g,209.605,0.99384129,0.0761371,1.55313882,0.0555939
01g_253g,209.905,0.99661752,0.0752402,1.5571511100000002,0.0534398
01g_253g,210.205,0.99942318,0.0743353,1.56120264,0.0512664
01g_253g,210.505,1.003563,0.0729967,1.5671965500000002,0.0480511
01g_253g,210.805,1.00344528,0.0725319,1.5673437000000001,0.0470597
01g_253g,211.106,1.00320984,0.0716391,1.56762819,0.0451554
01g_253g,211.406,1.00298421,0.0707463,1.56791268,0.0432511
01g_253g,211.706,1.00275858,0.0698983,1.5681775500000001,0.0414422
01g_253g,212.006,1.00099278,0.0688398,1.56650004,0.0396764
01g_253g,212.306,0.9993152700000001,0.0678319,1.56490101,0.0379949
01g_253g,212.606,0.9969216300000001,0.0664002,1.5626349,0.0356065
01g_253g,212.906,0.99590139,0.0657806,1.5616539,0.0348623
01g_253g,213.207,0.9941355900000001,0.0647117,1.55994696,0.0335786
01g_253g,213.507,0.9923796,0.0636427,1.5582498300000003,0.0322948
01g_253g,213.807,0.9908001900000001,0.0626905,1.55673909,0.0311512
01g_253g,214.107,0.98925021,0.061911,1.5565134600000001,0.0302365
01g_253g,214.407,0.98783757,0.0612082,1.5563172600000001,0.0294119
01g_253g,214.707,0.98593443,0.0602514,1.5560425800000002,0.0282893
01g_253g,215.008,0.9853654500000001,0.0598626,1.55686662,0.0277398
01g_253g,215.308,0.9844727400000001,0.0592538,1.55815173,0.0268796
01g_253g,215.608,0.9835898400000002,0.058645,1.55943684,0.0260193
01g_253g,215.908,0.98285409,0.0581386,1.56051594,0.0253037
01g_253g,216.208,0.9822753000000001,0.0574121,1.5625858500000003,0.0238786
01g_253g,216.508,0.9817848000000001,0.0567903,1.56435165,0.0226586
01g_253g,216.808,0.9811373400000001,0.0559804,1.5666570000000002,0.02107
01g_253g,217.109,0.98101962,0.0556131,1.56824622,0.0201418
01g_253g,217.409,0.9808518690000001,0.0550865,1.5705123300000001,0.0188114
01g_253g,217.709,0.9806821560000001,0.0545599,1.57277844,0.0174811
01g_253g,218.009,0.9805507020000002,0.054153,1.5745344300000002,0.016453
01g_253g,218.309,0.9805830750000001,0.0533114,1.57762458,0.0148303
01g_253g,218.609,0.980608581,0.0526257,1.5801359400000001,0.0135081
01g_253g,218.909,0.980640954,0.0517732,1.5832653300000001,0.0118641
01g_253g,219.21,0.9806429160000001,0.0512549,1.5852077100000002,0.0112524
01g_253g,219.51,0.9806448780000001,0.0505701,1.5877779300000001,0.010444
01g_253g,219.81,0.98064684,0.0498853,1.5903383400000002,0.00963551
01g_253g,220.11,0.980648802,0.0493965,1.59217281,0.00905849
01g_253g,220.41,0.9804790890000001,0.0486839,1.59466455,0.00818848
01g_253g,220.71,0.980347635,0.04813,1.59660693,0.00751206
01g_253g,221.01,0.980191656,0.0474739,1.59890247,0.00671103
01g_253g,221.311,0.9799905510000001,0.0470327,1.6010018100000003,0.00579874
01g_253g,221.611,0.9797443200000001,0.0464918,1.6035622200000001,0.00468036
01g_253g,221.911,0.9794980890000001,0.0459509,1.60613244,0.00356203
01g_253g,222.211,0.9793372050000001,0.0455967,1.6078099500000003,0.00282975
01g_253g,222.511,0.9790389810000001,0.0449131,1.61151813,0.00106936
01g_253g,222.811,0.9788172750000002,0.044405,1.6142747400000002,-0.000239193
01g_253g,223.112,0.978568101,0.0438333,1.6173747,-0.00171166
01g_253g,223.412,0.978464115,0.0434282,1.61931708,-0.00259018
01g_253g,223.712,0.978345414,0.0429651,1.62153414,-0.0035944
01g_253g,224.012,0.978226713,0.0425021,1.6237610100000002,-0.00459866
01g_253g,224.312,0.978156081,0.0422262,1.62507555,-0.0051969
