run,freq_hz,temperature_C,G_storage_pa,G_loss_pa,G_abs_pa,tan_delta,force_dyn_N,strain_dyn_pct
sd_10hz,10,22.9279,4225648.071058014,841160.8739097056,4308555.817931672,0.19906079724691708,0.2698540605823992,0.009968214285716877
sd_10hz,10,22.959,3912905.6191134723,810693.7024791507,3996004.837750968,0.207184578774181,0.3639800606926996,0.014496785714289482
sd_10hz,10,22.9301,3872629.8286164775,845948.9202134433,3963948.9609605693,0.21844301099019944,0.5306013464247085,0.02130396428571982
sd_10hz,10,22.9252,3826409.605211857,912462.0082167861,3933700.2152294936,0.23846427914406873,0.8004004204431923,0.03238367857143699
sd_10hz,10,22.9051,3823347.523922725,938134.939795489,3936760.527889793,0.24537004128595918,1.1584469310115717,0.0468335714285836
sd_10hz,10,22.9194,3835214.720685298,955716.183248089,3952501.1545454995,0.24919496113044648,1.695765636035321,0.06828321428573203
sd_10hz,10,22.8816,3746351.465042536,959459.9972103625,3867261.665038101,0.2561051749050109,2.450821136606791,0.10086214285716906
sd_10hz,10,22.8614,3664209.505552447,971271.8965081841,3790751.9567399174,0.2650699680344143,3.516650698870758,0.14764678571432407
sd_10hz,10,22.8471,3528288.84933066,989982.7664398422,3664544.730544158,0.28058438770613936,4.96616650657898,0.21568571428577032
sd_10hz,10,22.817,3351779.8603590797,993597.0006389571,3495949.546544896,0.29643862128001214,6.9670175943308275,0.31717714285722526
sd_10hz,10,22.8478,3148475.0229264074,996854.5487416146,3302516.307505277,0.31661504108584926,9.685583306977083,0.46676785714297847
sd_10hz,10,22.789,2937867.113326439,979998.9074938167,3097008.400739995,0.3335749609124423,13.287353206788806,0.6828357142858918
sd_10hz,10,22.8017,2722056.240592782,948312.1110398336,2882513.839844474,0.34838079276176886,18.169260302335314,1.0031964285716892
sd_10hz,10,22.7701,2513308.9682383686,899994.5367612377,2669590.2562055266,0.35809148343272057,24.682968663747975,1.4715428571432396
sd_10hz,10,22.788,2396280.243466059,862976.4972020993,2546936.8739623213,0.3601317081151833,29.91269076995178,1.8692071428576285
