run,freq_hz,temperature_C,G_storage_pa,G_loss_pa,G_abs_pa,tan_delta,force_dyn_N,strain_dyn_pct
tf_015p,1.0,-9.894894999999998,12031892.40494664,9377294.681031542,15254510.492936675,0.7793698917367544,7.188917437974694,0.15306971428575405
tf_015p,1.3895,-9.936447000000001,13480452.376954295,11273665.599150153,17573222.02468273,0.8362972757815764,8.2271181959613,0.15206189285718236
tf_015p,1.9307,-9.935305999999997,15300925.760897338,13570090.611925194,20451544.88923397,0.8868803642329001,9.513244369216457,0.15108682142861068
tf_015p,2.6827,-9.989618999999998,17404877.039565183,16406711.251941334,23918819.345171735,0.942650224683875,11.27824170886723,0.1531530714286112
tf_015p,3.72759,-10.014727999999998,19915665.331189737,19845966.954905048,28115763.015773483,0.9965003239848816,13.23918059058553,0.15294500000003974
tf_015p,5.17947,-10.011045999999997,22850237.913122524,24108379.64427913,33216672.647316657,1.0550603339860227,15.49813424593978,0.15154700000003937
tf_015p,7.19686,-9.974232999999998,26203417.335353415,29294988.11620466,39304139.84276049,1.1179834958656374,18.44232618296917,0.1524057857143253
tf_015p,10.0,-9.988926,30336729.33599975,35988996.77230855,47069364.08623918,1.186317627510406,20.024077073885064,0.13817778571432163
tf_015p,13.895,-10.010479,35286837.70470468,44351355.31297398,56676305.7484857,1.2568809844657958,19.9849394967619,0.1145316071428869
tf_015p,19.307,-10.008379000000001,41335967.12771999,54101210.99305959,68085264.2595995,1.3088168670614992,19.983565876328072,0.09533314285716762
tf_015p,26.827,-10.001511999999998,47888705.47269007,66378360.91798799,81849953.63473782,1.386096372052533,19.958009160486068,0.079199571428592
tf_015p,37.2759,-10.014146999999998,55118211.48571069,81221347.28551432,98157651.21608022,1.4735845938428325,19.90756508902037,0.06587460714287426
tf_015p,51.7947,-10.003744999999999,64609410.38771563,95756672.74089225,115515004.58838493,1.4820855377918563,19.864278443041208,0.05585453571430023
tf_015p,71.9686,-10.014329,79020386.41638458,103836090.39123587,130484309.92702396,1.3140417947855776,19.759892451776878,0.04918700000001278
tf_015p,1.0,-2.860657999999999,6971537.276137718,3907488.608708873,7991920.871715843,0.5604916754993886,3.6826490035446153,0.14966946428575317
tf_015p,1.3895,-2.9069769999999995,7633911.689526669,4636531.716998336,8931631.096626386,0.6073598838403406,4.175132307564351,0.15183207142861085
tf_015p,1.9307,-2.919604999999999,8398535.592652554,5509830.469867749,10044582.216684518,0.6560465701530177,4.725429968654975,0.15280357142861115
tf_015p,2.6827,-2.928096,9336065.343872514,6569649.88888144,11415884.362042975,0.7036850800528364,5.349803941128859,0.15221321428575385
tf_015p,3.72759,-2.934438,10410650.966894077,7867101.806607473,13048867.552014586,0.7556781830093908,6.076357735544783,0.15124971428575357
tf_015p,5.17947,-2.9386799999999997,11674884.58604301,9424690.75426847,15004256.926319886,0.8072620063015798,6.997895355074933,0.1514875714286108
tf_015p,7.19686,-2.9434050000000003,13159211.999567984,11337445.79954404,17369586.572718788,0.8615596283361229,8.016025597756268,0.14989725000003895
tf_015p,10.0,-2.9139279999999985,14810603.968068765,13631163.05054056,20128651.122452207,0.9203651032685065,9.278130868852905,0.14971657142861033
tf_015p,13.895,-2.9363139999999994,16840415.468750678,16406563.932873823,23511166.139594465,0.9742374802639568,10.933120873457916,0.15104071428575355
tf_015p,19.307,-2.9331709999999998,19185034.792964064,19742859.950160835,27529004.32305728,1.0290760565835069,12.95646076734216,0.1528691785714683
tf_015p,26.827,-2.9451969999999985,22042372.738516152,23758124.347269624,32408558.56782288,1.0778387893675085,14.869171823200423,0.14902225000003874
tf_015p,37.2759,-2.9220619999999986,25122312.845084537,28649876.754096683,38104409.72789408,1.1404155712399846,17.559333136886195,0.14967760714289602
tf_015p,51.7947,-2.9352709999999984,29077491.22850261,34036747.60824507,44766066.20969752,1.1705531038001395,19.851850428719736,0.144037678571466
tf_015p,71.9686,-2.9582659999999983,33747902.65479805,39494994.4878022,51949740.357284285,1.170294785183845,19.766932235337922,0.12358903571431783
tf_015p,1.0,4.1011528,4966495.680374668,1844599.6547728896,5297983.317222554,0.3714086900471712,2.3971521439240364,0.14696335714289532
tf_015p,1.3895,4.0986153000000005,5279688.685396994,2169213.5487428685,5707941.83876804,0.41086012414759626,2.6769823737407,0.15233160714289673
