run,freq_hz,base_accel_ms2,base_phase_rad,mass_accel_ms2,mass_phase_rad
1g_253g,200.0,9.816768900000001,0.0565949,11.5050699,-0.041296
1g_253g,200.3,9.80915634,0.0560217,11.4986934,-0.041812
1g_253g,200.6,9.806036760000001,0.0550733,11.4959466,-0.042681
1g_253g,200.9,9.80348616,0.0542994,11.4936903,-0.04339
1g_253g,201.201,9.800307720000001,0.0533358,11.4909435,-0.0442728
1g_253g,201.501,9.79912071,0.0521902,11.4893739,-0.0452601
1g_253g,201.801,9.79755111,0.0506728,11.487215700000002,-0.0465678
1g_253g,202.101,9.79598151,0.0491555,11.4850575,-0.0478755
1g_253g,202.401,9.794853360000001,0.0480698,11.483586,-0.0488112
1g_253g,202.701,9.79396065,0.0455167,11.4814278,-0.0507011
1g_253g,203.001,9.793273950000001,0.0435292,11.4797601,-0.0521724
1g_253g,203.302,9.79244991,0.041172,11.477798100000001,-0.0539173
1g_253g,203.602,9.792381240000001,0.0391961,11.477307600000001,-0.0551206
1g_253g,203.902,9.79229295,0.0367689,11.476620900000002,-0.0565986
1g_253g,204.202,9.792214470000001,0.0343417,11.4760323,-0.0580767
1g_253g,204.502,9.79215561,0.0327483,11.4755418,-0.059047
1g_253g,204.802,9.786720870000002,0.0283863,11.470636800000001,-0.061266
1g_253g,205.103,9.782669340000002,0.0251395,11.4670071,-0.0629176
1g_253g,205.403,9.77810769,0.0214808,11.4628869,-0.0647788
1g_253g,205.703,9.763902810000001,0.0180105,11.452292100000001,-0.0660555
1g_253g,206.003,9.74762802,0.0140356,11.4400296,-0.0675177
1g_253g,206.303,9.73136304,0.0100609,11.4278652,-0.0689799
1g_253g,206.603,9.72164133,0.00768622,11.4206058,-0.0698535
1g_253g,206.903,9.67458276,0.00265305,11.3966694,-0.0705844
1g_253g,207.204,9.641032560000001,-0.000935305,11.3796,-0.0711054
1g_253g,207.504,9.60519663,-0.00476756,11.361451500000001,-0.0716619
1g_253g,207.804,9.5572944,-0.00595991,11.3516415,-0.0708809
1g_253g,208.104,9.50589981,-0.00723908,11.3410467,-0.070043
1g_253g,208.404,9.45449541,-0.00851832,11.33055,-0.0692051
1g_253g,208.704,9.426831210000001,-0.009207,11.3248602,-0.068754
1g_253g,209.005,9.357759,-0.00483522,11.3486985,-0.0659211
1g_253g,209.305,9.310514040000001,-0.00184412,11.3649831,-0.0639828
1g_253g,209.605,9.26283744,0.00117344,11.381463900000002,-0.0620275
1g_253g,209.905,9.259188120000001,0.00708558,11.4391467,-0.0604161
1g_253g,210.205,9.25550937,0.0130508,11.49732,-0.0587902
1g_253g,210.505,9.25006482,0.0218753,11.5834518,-0.056385
1g_253g,210.805,9.27860211,0.0244638,11.631226500000002,-0.0564532
1g_253g,211.106,9.33340077,0.0294356,11.72295,-0.0565842
1g_253g,211.406,9.38818962,0.0344072,11.814673500000001,-0.0567151
1g_253g,211.706,9.440241480000001,0.0391299,11.901786300000001,-0.0568395
1g_253g,212.006,9.5253138,0.0410813,11.9990034,-0.0585994
1g_253g,212.306,9.60633459,0.0429397,12.0916098,-0.0602753
1g_253g,212.606,9.72140589,0.0455793,12.223063800000002,-0.0626557
1g_253g,212.906,9.75603519,0.045565,12.258772200000001,-0.063821
1g_253g,213.207,9.815787900000002,0.0455404,12.320477100000002,-0.0658314
1g_253g,213.507,9.8755308,0.0455158,12.382182,-0.0678417
1g_253g,213.807,9.9287991,0.0454938,12.437118000000002,-0.0696326
1g_253g,214.107,9.950675400000002,0.0451875,12.4598772,-0.0715207
1g_253g,214.407,9.970393500000002,0.0449113,12.4804782,-0.0732229
1g_253g,214.707,9.997371,0.0445352,12.5084367,-0.0755404
1g_253g,215.008,9.991681200000002,0.0443503,12.5021583,-0.0765155
1g_253g,215.308,9.9828522,0.0440608,12.4922502,-0.0780423
1g_253g,215.608,9.9741213,0.0437712,12.482440200000001,-0.0795691
1g_253g,215.908,9.9667638,0.0435304,12.4741998,-0.0808391
1g_253g,216.208,9.9469476,0.0430365,12.4520292,-0.0826018
1g_253g,216.508,9.9299763,0.0426138,12.433095900000001,-0.0841107
1g_253g,216.808,9.907903800000001,0.0420632,12.4083747,-0.0860757
1g_253g,217.109,9.8986824,0.0416693,12.3984666,-0.0870482
1g_253g,217.409,9.8854389,0.0411047,12.384340200000002,-0.0884421
1g_253g,217.709,9.8721954,0.0405401,12.3701157,-0.089836
1g_253g,218.009,9.861993000000002,0.0401038,12.3591285,-0.0909132
1g_253g,218.309,9.854046900000002,0.0394478,12.3511824,-0.0924899
1g_253g,218.609,9.847572300000001,0.0389132,12.344707800000002,-0.0937747
1g_253g,218.909,9.839626200000001,0.0382486,12.336663600000001,-0.0953721
1g_253g,219.21,9.838056600000002,0.0379872,12.3361731,-0.0963109
1g_253g,219.51,9.8359965,0.0376419,12.335486399999999,-0.0975514
1g_253g,219.81,9.834034500000001,0.0372965,12.3348978,-0.0987919
1g_253g,220.11,9.832563,0.0370499,12.3344073,-0.0996774
1g_253g,220.41,9.8319744,0.0367724,12.336761700000002,-0.101244
1g_253g,220.71,9.831385800000001,0.0365567,12.3385275,-0.102462
1g_253g,221.01,9.8307972,0.0363012,12.340685700000002,-0.103904
1g_253g,221.311,9.8308953,0.0362098,12.3423534,-0.10486
1g_253g,221.611,9.8309934,0.0360978,12.344413500000002,-0.106033
1g_253g,221.911,9.8311896,0.0359858,12.3463755,-0.107206
1g_253g,222.211,9.8311896,0.0359124,12.347748900000001,-0.107973
1g_253g,222.511,9.831680100000002,0.0357679,12.35079,-0.109428
1g_253g,222.811,9.8319744,0.0356605,12.3530463,-0.110509
1g_253g,223.112,9.8323668,0.0355396,12.3555969,-0.111725
1g_253g,223.412,9.8332497,0.0353475,12.357755100000002,-0.11268
1g_253g,223.712,9.8342307,0.0351279,12.360305700000001,-0.113772
1g_253g,224.012,9.835309800000001,0.0349083,12.3628563,-0.114863
1g_253g,224.312,9.8358984,0.0347775,12.3644259,-0.115514
1g_253g,224.612,9.8381547,0.0343176,12.368055600000002,-0.117075
1g_253g,224.912,9.8398224,0.0339901,12.370704300000002,-0.118187
1g_253g,225.213,9.8415882,0.0336409,12.3734511,-0.119372
1g_253g,225.513,9.843059700000001,0.033236,12.376197900000001,-0.120434
1g_253g,225.813,9.844727400000002,0.0328024,12.379042799999999,-0.121572
1g_253g,226.113,9.846297000000002,0.0323689,12.3819858,-0.122709
1g_253g,226.413,9.8470818,0.0321362,12.3835554,-0.12332
1g_253g,226.713,9.8467875,0.0312044,12.3867927,-0.125037
1g_253g,227.014,9.8465913,0.0305676,12.389049,-0.126211
1g_253g,227.314,9.846395100000002,0.0299263,12.3913053,-0.127393
1g_253g,227.614,9.843059700000001,0.0291023,12.3920901,-0.128579
1g_253g,227.914,9.839724300000002,0.0282723,12.3927768,-0.129773
1g_253g,228.214,9.8348193,0.0270459,12.393954,-0.131537
1g_253g,228.514,9.8319744,0.0266747,12.393954,-0.132164
1g_253g,228.814,9.826677,0.025964,12.3940521,-0.133364
